Song Name,Artist Name,Release Date,Genres,Tracks,Popularity,Album Name,Album Type,Song Duration (ms)
Yeto Vellipoyindi,Rajesh Krishnan,1996-12-31,filmi,"Yeto Vellipoyindi, Greeku Veerudu, Namogudu Rampyari, Inka Yedo Kaavalantu, Kannullo Nee Roopame, Ninne Pellade, Nathora Thamashala, Nieto Vellipoidi (Party Mix)",51,Ninne Pelladatha,album,277200
"Yaaro Kannalli (From ""Orata I Love You"")",Rajesh Krishnan,2018-05-30,filmi,"Nannavalu Nannavalu (From ""Nannavalu Nannavalu""), Meghagala Bagilali (From ""Suryavamsha""), Marubhoomi Edeyalli (From ""Karnataka Ayodhyepuram""), Yenne Yenne (From ""Orata I Love You""), Yenidu E Dina (From ""Akash""), Preetisuve Ninna Preetisuve (From ""Ugadi""), Nee Madid Thappa (From ""Ekangi""), Kencha Kencha (From ""Kalasipalya""), Ninna Preetisuve (From ""Preethisu ""), Bidu Bidu (From ""Pallakki""), Hogabeda Hudugi (From ""Annavara Makkalu""), Yeno Modi Madide (From ""Ondagona Baa""), Sheshadrivasa Sri Tirumalesha (From ""Jeevanadhi""), Jaajiya Hoo Chanda (From ""Thandege Thakka Maga""), Suntara Gaali (From ""Kalasipalya""), Sona Sona (From ""Boss""), Huchhanade Huchhanade (From ""Abhinandane""), Meghashyama Baa (From ""Dharma""), Yaaro Kannalli (From ""Orata I Love You""), So Much To Say (From ""Ugadi"")",48,Melody Manthrika Rajesh Krishnan,album,349173
Nuvante Nakistamani,Rajesh Krishnan,2022-08-26,filmi,"Hey Menina, Gundello Emundho, Nee Navve, O Manmadhuda, Chinni Chinni Aasalu, Nuvante Nakistamani, Gudi Gantalu, Natho Vasthava, Inthandanga, Neekosam, Swapnavevedo, Komma Komma, Priya Raagale, Gichchi Gichchi, Andhama Andhama, Hay Hay Nayaka Athamma Kodaka",18,King Of Romance - Nagarjuna,compilation,300774
Kaarmoda Saridhu,Rajesh Krishnan,2014-11-22,filmi,"Yaaralli, Upavasa, Yenappa, Mr. and Mrs. Ramachari, Kaarmoda Saridhu, Annthamma",49,Mr. and Mrs. Ramachari (Original Motion Picture Soundtrack),single,250009
Devudu Karunisthadani,Rajesh Krishnan,2022-09-16,filmi,"Priyatama, Rasaleelavela, Andhama Andhama, Edolavundi, Manasuna Mansuga, Ee Velalo Neevu, Nelluri Nerajana, Devudu Karunisthadani, Urumulu Nimuvvalai, Nee Kosam, Prema Prema, Yekommakakomma, Chittigumma Padave, Chandruni Takinadi, O Cheliya, Vayasa Chusuko, Nesthama Iddari, Sona Sona, Andala Ada Bomma, Priya",16,Fall In Love With 90's,compilation,299195
Yendu Kanda Kanasu,Rajesh Krishnan,2003-03-09,filmi,"Nodkondu Baaro, Yendu Kanda Kanasu, Sweetu Rasagolla, Jumma Jumma, Bum Bum Bombattu, Yendu Naanu, Kunjarada Gombe",49,Lankesh Patrike,album,348316
Moda Modalu,Rajesh Krishnan,2005-01-04,filmi,"Ambari Mele, Duddu Yaara, Mannige Maara, Nodenna Bengalooru, Moda Modalu, Aadu Aata",45,Yeswanth,single,326896
Prema Chandrama,Rajesh Krishnan,2000-10-26,filmi,"Prema Chandrama, Namma Maneyalli, Mysore Mallige, Prema Chandrama Pathos, Srigandada Gombe, O Maina, Baana Chandrama, Navile Pancharangi",44,Yejamana,compilation,272195
Pehla Pyaar,Armaan Malik,2019-06-14,"filmi, modern bollywood","Bekhayali, Kaise Hua, Tujhe Kitna Chahne Lage, Mere Sohneya, Tera Ban Jaunga, Yeh Aaina, Pehla Pyaar, Bekhayali (Arijit Singh Version), Tujhe Kitna Chahein Aur (Film Version)",71,Kabir Singh,compilation,272532
"Chale Aana (From ""De De Pyaar De"")",Armaan Malik,2019-05-02,"filmi, modern bollywood","Chale Aana (From ""De De Pyaar De"")",67,"Chale Aana (From ""De De Pyaar De"")",single,271023
Main Rahoon Ya Na Rahoon,Armaan Malik,2015-11-24,"filmi, modern bollywood",Main Rahoon Ya Na Rahoon,69,Main Rahoon Ya Na Rahoon,single,309457
Bol Do Na Zara,Armaan Malik,2017-07-20,"filmi, modern bollywood","Main Rahoon Ya Na Rahoon, Bol Do Na Zara, Kaun Tujhe &amp; Kuch Toh Hai Mashup, Jab Tak, Wajah Tum Ho, Sab Tera, Dil Mein Chhupa Loonga, Main Hoon Hero Tera (Armaan Malik Version), Mujhko Barsaat Bana Lo, Tum Jo Mile, Main Agar Kahoon-Bol Do Na Zara, Dil Ke Paas (Unplugged), Pyaar Manga Hai, Tumhe Apna Banane Ka, O Saathiya",64,Bollywood Romantic Songs With Armaan Malik,compilation,292826
Jab Tak,Armaan Malik,2017-07-20,"filmi, modern bollywood","Main Rahoon Ya Na Rahoon, Bol Do Na Zara, Kaun Tujhe &amp; Kuch Toh Hai Mashup, Jab Tak, Wajah Tum Ho, Sab Tera, Dil Mein Chhupa Loonga, Main Hoon Hero Tera (Armaan Malik Version), Mujhko Barsaat Bana Lo, Tum Jo Mile, Main Agar Kahoon-Bol Do Na Zara, Dil Ke Paas (Unplugged), Pyaar Manga Hai, Tumhe Apna Banane Ka, O Saathiya",62,Bollywood Romantic Songs With Armaan Malik,compilation,174039
Kaun Tujhe (Armaan Malik Version),Armaan Malik,2017-01-11,"filmi, modern bollywood",Kaun Tujhe (Armaan Malik Version),65,Kaun Tujhe (Armaan Malik Version),single,160485
"Dil Mein Ho Tum (From ""Cheat India"")",Armaan Malik,2018-12-26,"filmi, modern bollywood","Dil Mein Ho Tum (From ""Cheat India"")",63,"Dil Mein Ho Tum (From ""Cheat India"")",single,326765
Besabriyaan,Armaan Malik,2016-09-17,"filmi, modern bollywood","Besabriyaan, Kaun Tujhe, Jab Tak, Phir Kabhi, Parwah Nahin, Jab Tak (Redux), Padhoge Likhoge",63,M.S.Dhoni - The Untold Story,album,255738
Sau Aasmaan,Armaan Malik,2016-08-04,"filmi, modern bollywood","Kho Gaye Hum Kahan, Sau Aasmaan, Dariya, Nachde Ne Saare, Teri Khair Mangdi, Kala Chashma",63,Baar Baar Dekho (Original Motion Picture Soundtrack),single,234737
Buddhu Sa Mann,Armaan Malik,2016-03-04,"filmi, modern bollywood","Kar Gayi Chull, Bolna, Buddhu Sa Mann, Saathi Rey, Let's Nacho",63,Kapoor & Sons (Since 1921) (Original Motion Picture Soundtrack),single,206858
"Dil Ko Karaar Aaya (From ""Sukoon"")",Neha Kakkar,2020-07-31,"filmi, modern bollywood","Dil Ko Karaar Aaya (From ""Sukoon"")",69,"Dil Ko Karaar Aaya (From ""Sukoon"")",single,231486
"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")",Neha Kakkar,2019-12-02,"filmi, modern bollywood","Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")",68,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")",single,200991
Kar Gayi Chull,Neha Kakkar,2017-12-15,"filmi, modern bollywood","Mercy, The Humma Song, Dj Waley Babu (feat. Aastha Gill), Kar Gayi Chull, Let's Nacho, Proper Patola (feat. Badshah), Saturday Saturday, The Breakup Song, Baaki Baatein Peene Baad (Shots) (feat. Badshah), Vroom Vroom (feat. Badshah), Take Your Sandals Off (feat. Badshah), Garrari Pitbull Te (feat. Badshah), I Wanna Be Free (feat. Major Lazer), Let It Go (feat. Andrea Jeremiah) - Romantic, Gym (feat. Badshah)",63,The Badshah of Party Hits,compilation,187710
"Dilbar (From ""Satyameva Jayate"")",Neha Kakkar,2018-07-04,"filmi, modern bollywood","Dilbar (From ""Satyameva Jayate"")",66,"Dilbar (From ""Satyameva Jayate"")",single,184432
"O Saki Saki (From ""Batla House"")",Neha Kakkar,2019-08-16,"filmi, modern bollywood","Enni Soni (From ""Saaho""), Sheher Ki Ladki (From ""Khandaani Shafakhana""), O Saki Saki (From ""Batla House""), Tera Ban Jaunga (From ""Kabir Singh""), Wajah Tum Ho (From ""Wajah Tum Ho""), Paniyon Sa (From ""Satyameva Jayate""), Nachange Saari Raat (From ""Junooniyat"") (feat. Neeraj Shridhar, Tulsi Kumar), Raat Kamaal Hai (From ""Raat Kamaal Hai""), Dil Mein Chhupa Loonga (From ""Wajah Tum Ho"") (feat. Armaan Malik, Tulsi Kumar), Tu Laung Main Elaachi (From ""Luka Chuppi""), Saiyaan Superstar (From ""Ek Paheli Leela""), Pee Loon (From ""Once Upon A Time In Mumbaai""), Mainu Ishq Da Lagya Rog (From ""Mainu Ishq Da Lagya Rog""), Ik Yaad Purani (From ""Ik Yaad Purani""), Mere Humsafar (From ""All Is Well""), Soch Na Sake (From ""Airlift""), Tose Naina-Tum Jo Aaye (From ""T-Series Mixtape""), Tere Jaisa (From ""Satyameva Jayate""), Hum Mar Jayenge (From ""Aashiqui 2""), Piya Aaye Na (From ""Aashiqui 2"")",57,Mesmeric Voice - Tulsi Kumar,album,191089
Kala Chashma,Neha Kakkar,2019-06-06,"filmi, modern bollywood","Mile Ho Tum - Reprise, Kala Chashma, The Hook Up Song, Bhangra Ta Sajda (No One Gives A Damn!), Manali Trance, Mehbooba, Aao Raja, Naina - Neha Kakkar Version, Daaru Peeke Dance, Dum Maro Dum Maro, Aiyyashian, Maro Line, Tension Wali Raat",55,The Neha Kakkar Collection,album,187006
"Main Tera Boyfriend (From ""Raabta"")",Neha Kakkar,2019-05-22,"filmi, modern bollywood","Galti Se Mistake (From ""Jagga Jasoos""), Main Tera Boyfriend (From ""Raabta""), Palat - Tera Hero Idhar Hai (From ""Main Tera Hero""), Chal Wahan Jaate Hain (From ""Chal Wahan Jaate Hain""), Shanivaar Raati (From ""Main Tera Hero""), Sooraj Dooba Hain (From ""Roy""), Ishq Mubarak (From ""Tum Bin 2""), Ullu Ka Pattha (From ""Jagga Jasoos""), Kashmir Main Tu Kanyakumari (From ""Chennai Express""), Ilahi (From ""Yeh Jawaani Hai Deewani""), Subah Subah (From ""Sonu Ke Titu Ki Sweety""), Dil Cheez Tujhe Dedi (From ""Airlift""), Raat Bhar (From ""Heropanti""), Mast Magan (From ""2 States"")",57,Groove With Arijit Singh,album,276153
"Gali Gali (From ""Kgf Chapter 1"")",Neha Kakkar,2018-12-13,"filmi, modern bollywood","Gali Gali (From ""Kgf Chapter 1"")",64,"Gali Gali (From ""Kgf Chapter 1"")",single,174711
"Coca Cola (From ""Luka Chuppi"")",Neha Kakkar,2019-02-04,"filmi, modern bollywood","Coca Cola (From ""Luka Chuppi"")",63,"Coca Cola (From ""Luka Chuppi"")",single,179225
"Sunny Sunny (From ""Yaariyan"")",Neha Kakkar,2018-03-12,"filmi, modern bollywood","Dil Chori (From ""Sonu Ke Titu Ki Sweety""), Dheere Dheere (From ""Dheere Dheere""), Blue Eyes (From ""Blue Eyes""), Chhote Chhote Peg (From ""Sonu Ke Titu Ki Sweety""), Sunny Sunny (From ""Yaariyan""), Aata Majhi Satakli (From ""Singham Returns""), Yaar Naa Miley (From ""Kick""), High Heels Te Nachche (From ""Ki &amp; Ka"") (feat. Jaz Dhami, Aditi Singh Sharma), One Bottle Down (From ""One Bottle Down""), Abcd -Yaariyan (From ""Yaariyan""), Boss (From ""Boss""), Lungi Dance (From ""Lungi Dance""), Desi Kalakaar (From ""Desi Kalakaar""), Chaar Botal Vodka (From ""Ragini Mms 2""), Gal Ban Gayi (From ""Gal Ban Gayi"") (feat. Sukhbir, Neha Kakkar, Yo Yo Honey Singh), Fugly (From ""Fugly""), Love Dose (From ""Desi Kalakaar""), Party All Night (From ""Boss""), Party With The Bhoothnath (From ""Bhoothnath Returns""), Issey Kehte Hain Hip Hop (From ""Issey Kehte Hain Hip Hop"")",56,Yo Yo Honey Singh Is Back,compilation,243319
"Sajni (From ""Laapataa Ladies"")",Arijit Singh,2024-02-12,"filmi, modern bollywood","Sajni (From ""Laapataa Ladies"")",83,"Sajni (From ""Laapataa Ladies"")",single,170044
"Satranga (From ""ANIMAL"")",Arijit Singh,2023-10-27,"filmi, modern bollywood","Satranga (From ""ANIMAL"")",80,"Satranga (From ""ANIMAL"")",single,271169
Soulmate,Arijit Singh,2024-03-18,"filmi, modern bollywood","God Damn, O’Sajna, Like A Snake, Bajenge, Hola At Your Boy, Surma, Red And Blue, Drinks On Me, Soulmate, Body On Me, AMG, Naraaz, Kalashnikova, Alag Hai, Daaku, G-Yaan",80,Ek Tha Raja,album,213599
Chaleya,Arijit Singh,2023-09-05,"filmi, modern bollywood","Zinda Banda, Chaleya, Not Ramaiya Vastavaiya, Aararaari Raaro, Jawan Title Track, Faraatta, Chaleya Arabic Version",74,Jawan,album,200373
O Maahi,Arijit Singh,2023-12-20,"filmi, modern bollywood","Lutt Putt Gaya, Nikle The Kabhi Hum Ghar Se, O Maahi, Chal Ve Watna, Banda, Main Tera Rasta Dekhunga, Main Tera Rasta Dekhunga (Film Version), Waheguru",73,Dunki,album,233453
Heeriye (feat. Arijit Singh),Arijit Singh,2023-07-25,"filmi, modern bollywood",Heeriye (feat. Arijit Singh),78,Heeriye (feat. Arijit Singh),single,194857
Apna Bana Le,Arijit Singh,2022-12-06,"filmi, modern bollywood","Thumkeshwari, Apna Bana Le, Jungle Mein Kaand, Baaki Sab Theek, Apna Bana Le by Sakshi Holkar",71,Bhediya (Original Motion Picture Soundtrack),single,261702
"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",Arijit Singh,2024-05-15,"filmi, modern bollywood","Tum Kya Mile - Pritam' s Version (From ""Rocky Aur Rani Kii Prem Kahaani""), What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani""), Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani""), Dhindhora Baje Re (From ""Rocky Aur Rani Kii Prem Kahaani""), Ro Lain De (From ""Rocky Aur Rani Kii Prem Kahaani""), Kudmayi (From ""Rocky Aur Rani Kii Prem Kahaani""), Heart Throb (From ""Rocky Aur Rani Kii Prem Kahaani""), Saregama Carvaan Medley (From ""Rocky Aur Rani Kii Prem Kahaani""), Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani""), Ve Kamleya (Sufi Version) (From ""Rocky Aur Rani Kii Prem Kahaani""), Tum Kya Mile - Shreya' s Version (From ""Rocky Aur Rani Kii Prem Kahaani""), Kudmayi (Film Version) (From ""Rocky Aur Rani Kii Prem Kahaani""), Ve Kamleya (Redux) (From ""Rocky Aur Rani Kii Prem Kahaani""), Rani' s Intro Theme (From ""Rocky Aur Rani Kii Prem Kahaani""), Kudmayi - Female Version (From ""Rocky Aur Rani Kii Prem Kahaani"")",66,Rocky Aur Rani Kii Prem Kahaani,album,246988
"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",Arijit Singh,2024-05-15,"filmi, modern bollywood","Tum Kya Mile - Pritam' s Version (From ""Rocky Aur Rani Kii Prem Kahaani""), What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani""), Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani""), Dhindhora Baje Re (From ""Rocky Aur Rani Kii Prem Kahaani""), Ro Lain De (From ""Rocky Aur Rani Kii Prem Kahaani""), Kudmayi (From ""Rocky Aur Rani Kii Prem Kahaani""), Heart Throb (From ""Rocky Aur Rani Kii Prem Kahaani""), Saregama Carvaan Medley (From ""Rocky Aur Rani Kii Prem Kahaani""), Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani""), Ve Kamleya (Sufi Version) (From ""Rocky Aur Rani Kii Prem Kahaani""), Tum Kya Mile - Shreya' s Version (From ""Rocky Aur Rani Kii Prem Kahaani""), Kudmayi (Film Version) (From ""Rocky Aur Rani Kii Prem Kahaani""), Ve Kamleya (Redux) (From ""Rocky Aur Rani Kii Prem Kahaani""), Rani' s Intro Theme (From ""Rocky Aur Rani Kii Prem Kahaani""), Kudmayi - Female Version (From ""Rocky Aur Rani Kii Prem Kahaani"")",65,Rocky Aur Rani Kii Prem Kahaani,album,277500
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,2019-05-31,"filmi, modern bollywood","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",74,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",single,284779
O Rendu Prema Meghaalila (First Love Song),Sreerama Chandra,2023-07-10,tollywood,"O Rendu Prema Meghaalila (First Love Song), O Rendu Prema Meghaalila (Reprise), Deva Raaja, Premisthunna, Riba Pappa, Chanti Pillala, Kalakalame",54,Baby (Original Motion Picture Soundtrack),album,314342
Beast Mode,Sreerama Chandra,2022-05-04,tollywood,"Halamithi Habibo, Jollyo Gymkhana, Beast Mode",14,Beast (Original Motion Picture Soundtrack),single,220350
"Not Ramaiya Vastavaiya (From ""Jawan"")",Sreerama Chandra,2023-10-05,tollywood,"Dhumme Dhulipelaa (From ""Jawan""), Baby Baby (From ""Unstoppable - Unlimited Fun""), Not Ramaiya Vastavaiya (From ""Jawan""), Dhekho Mumbai (From ""Rules Ranjann""), Jajimogulali Song (From ""Rudrangi""), Manjula Manjula (From ""Vey Dharuvey""), Vey Dharuvey (Title Song) [From ""Vey Dharuvey""], Ranjithame (From ""Vaarasudu""), Nee Sittarangi Sariya (From ""Sakshi""), Bull Bull Unstoppable (From ""Unstoppable - Unlimited Fun"")",16,Tollywood Teenmaar Hits,compilation,202556
Sarphira,Sreerama Chandra,2024-06-15,tollywood,"Satyanaas, Tu Hai Champion, Sarphira, Jamoore, Na Door Hai Na Paas Hai, Jeet Ka Geet, Sarphira Climax Version",47,Chandu Champion,album,205185
O Rendu Prema Meghaalila (Reprise),Sreerama Chandra,2023-07-10,tollywood,"O Rendu Prema Meghaalila (First Love Song), O Rendu Prema Meghaalila (Reprise), Deva Raaja, Premisthunna, Riba Pappa, Chanti Pillala, Kalakalame",46,Baby (Original Motion Picture Soundtrack),album,324210
Gelupu Thalupule,Sreerama Chandra,2011-03-21,tollywood,"Aale Bale, Vayyarala, Chiguru Bhoniya, Sri Ganga, Barbi Bommaki, Gelupu Thalupule",54,Teenmaar,single,317544
Mari Antaga,Sreerama Chandra,2012-12-16,tollywood,"Sitamma Vakitlo, Yemcheddam, Aaraduguluntada, Inka Cheppale, Meghaallo, Mari Antaga, Vaana Chinukulu",52,Seethamma Vakitlo Sirimalle Chettu,album,225953
Haal E - Dil - Male Vocals,Sreerama Chandra,2016-01-06,tollywood,"Sanam Teri Kasam, Kheech Meri Photo, Bewajah, Tera Chehra, Haal E - Dil - Male Vocals, Haal E - Dil - Female Vocals, Ek number, Main Teri Yaadon Mein, Sanam Teri Kasam - Reprise",50,Sanam Teri Kasam (Original Motion Picture Soundtrack),album,334000
Oh My Lily,Sreerama Chandra,2024-03-18,tollywood,Oh My Lily,49,Tillu Square,single,201923
Atu Itu Ooguthu,Sreerama Chandra,2012-07-28,tollywood,"Life Is Beautiful, Beautiful Girl, Atu Itu Ooguthu, Its Your Love, Amma Ani Kothaga, Life Is Beautiful Pop",48,Life Is Beautiful,single,327765
NUMB,Chitra,2024-05-22,,NUMB,51,NUMB,single,161207
Aftertaste,Chitra,2024-02-14,,Aftertaste,42,Aftertaste,single,156862
Throwaway,Chitra,2021-09-15,,Throwaway,33,Throwaway,single,215526
Aftertaste (Sped Up),Chitra,2024-04-15,,"Aftertaste (Sped Up), Aftertaste (Slowed Down)",29,Aftertaste (Sped/Slowed),single,145243
Aftertaste (Slowed Down),Chitra,2024-04-15,,"Aftertaste (Sped Up), Aftertaste (Slowed Down)",25,Aftertaste (Sped/Slowed),single,170503
Mujhe Neend Na Aaye,Anuradha Paudwal,1990-06-22,"bhajan, classic bollywood, filmi, ghazal, hare krishna","O Priya Priya, Mujhe Neend Na Aaye, Dum Duma Dum, Khambe Jaisi Khadi Hai, Hum Pyar Karne Wale, Humne Ghar Chhoda Hai, Saansein Teri Chalti Rahe (Sad), Dil Kho Gaya (Instrumental), Hum Pyar Karne Wale (Instrumental), Khambe Jaisi Khadi Hai (Instrumental), Humne Ghar Chhoda Hai (Instrumental), O Priya Priya (Instrumental)",62,Dil,compilation,373573
Bahut Pyar Karte Hai - Female Version,Anuradha Paudwal,1993-06-20,"bhajan, classic bollywood, filmi, ghazal, hare krishna","Dekha Hai Pehli Baar, Tumse Milne Ki Tamanna Hai, Bahut Pyar Karte Hai - Female Version, Jeeye to Jeeye Kaise, Too Shayar Hai Main Teri Shayari, Pehli Baar Mile Hain, Mera Dil Bhi Kitna Pagal Hai, Jeeye to Jeeye Kaise, Bahut Pyar Karte Hai - Male Version",62,Saajan (Original Motion Picture Soundtrack),album,265666
"Dheere Dheere Se Meri Zindagi Mein Aana (From ""Aashiqui"")",Anuradha Paudwal,2017-02-13,"bhajan, classic bollywood, filmi, ghazal, hare krishna","Dheere Dheere Se Meri Zindagi Mein Aana (From ""Aashiqui""), Hum Aapke Dil Mein Rehte Hain (From ""Hum Aapke Dil Mein Rahte Hain""), Dil Hai Ki Manta Nahin (From ""Dil Hai Ke Manta Nahin""), Tumhein Apna Banane Ki Kasam Khai Hai (From ""Sadak""), Kasam Se Kasam Se (From ""Hum Aapke Dil Mein Rahte Hain""), Main Duniya Bhula Doonga (From ""Aashiqui""), Dil Se Dilbar (From ""Aan - Men At Work""), Dil Diwana (From ""Daag The Fire""), Mohabbat Ki Hai Tumhare Liye (From ""Sadak""), Sachi Sachi Baat Bata (From ""Aap Ki Yaaden""), Dil Diwane Ka Dola Dildar Ke Liye (From ""Tahalka""), Tu Meri Zindagi Hai (From ""Aashiqui""), Jaan - E - Jigar Jaaneman (From ""Aashiqui""), Tere Hum Ae Sanam (From ""Jeena Teri Gali Mein""), Adayein Bhi Hain Mohabbat Bhi Hai (From ""Dil Hai Ke Manta Nahin""), Nazar Ke Samne (From ""Aashiqui""), Tere Chehre Pe Marta Hoon (From ""Kaun Hai Jo Sapno Mein Aaya""), Tu Pyar Hai Kisi Aur Ka (From ""Dil Hai Ke Manta Nahin""), Jo Hum Na Milenge To Gul Na Khilenge (From ""Jaan Ki Kasam""), Koi Mere Dil Mein Hai (From ""Koi Mere Dil Mein Hai"")",56,Ultimate Romantic Duet - Kumar Sanu & Anuradha Paudwal,compilation,329640
Tamma Tamma Again,Anuradha Paudwal,2017-02-14,"bhajan, classic bollywood, filmi, ghazal, hare krishna","Aashiq Surrender Hua, Roke Na Ruke Naina, Humsafar, Badri Ki Dulhania (Title Track), Tamma Tamma Again",60,Badrinath Ki Dulhania,single,199264
"Nazar Ke Samne (From ""Aashiqui"")",Anuradha Paudwal,2017-02-13,"bhajan, classic bollywood, filmi, ghazal, hare krishna","Dheere Dheere Se Meri Zindagi Mein Aana (From ""Aashiqui""), Hum Aapke Dil Mein Rehte Hain (From ""Hum Aapke Dil Mein Rahte Hain""), Dil Hai Ki Manta Nahin (From ""Dil Hai Ke Manta Nahin""), Tumhein Apna Banane Ki Kasam Khai Hai (From ""Sadak""), Kasam Se Kasam Se (From ""Hum Aapke Dil Mein Rahte Hain""), Main Duniya Bhula Doonga (From ""Aashiqui""), Dil Se Dilbar (From ""Aan - Men At Work""), Dil Diwana (From ""Daag The Fire""), Mohabbat Ki Hai Tumhare Liye (From ""Sadak""), Sachi Sachi Baat Bata (From ""Aap Ki Yaaden""), Dil Diwane Ka Dola Dildar Ke Liye (From ""Tahalka""), Tu Meri Zindagi Hai (From ""Aashiqui""), Jaan - E - Jigar Jaaneman (From ""Aashiqui""), Tere Hum Ae Sanam (From ""Jeena Teri Gali Mein""), Adayein Bhi Hain Mohabbat Bhi Hai (From ""Dil Hai Ke Manta Nahin""), Nazar Ke Samne (From ""Aashiqui""), Tere Chehre Pe Marta Hoon (From ""Kaun Hai Jo Sapno Mein Aaya""), Tu Pyar Hai Kisi Aur Ka (From ""Dil Hai Ke Manta Nahin""), Jo Hum Na Milenge To Gul Na Khilenge (From ""Jaan Ki Kasam""), Koi Mere Dil Mein Hai (From ""Koi Mere Dil Mein Hai"")",53,Ultimate Romantic Duet - Kumar Sanu & Anuradha Paudwal,compilation,335213
Dhak Dhak Karne Laga,Anuradha Paudwal,1991-11-28,"bhajan, classic bollywood, filmi, ghazal, hare krishna","Koyal Si Teri Boli, Dhak Dhak Karne Laga, Dhadkane Saansein Jawani, Saiyan Se Chhup Ke, Sajna Mein Teri Tu Mera, Kitna Pyara Ye Chehra, Nach Mundeya, Khushiyon Ka Din Aaya Hai, Bhool To Maa Se (Sad), Ye Jo Dil Hai Chanchal",59,Beta,compilation,320386
"Tu Meri Zindagi Hai (From ""Aashiqui"")",Anuradha Paudwal,2017-02-13,"bhajan, classic bollywood, filmi, ghazal, hare krishna","Dheere Dheere Se Meri Zindagi Mein Aana (From ""Aashiqui""), Hum Aapke Dil Mein Rehte Hain (From ""Hum Aapke Dil Mein Rahte Hain""), Dil Hai Ki Manta Nahin (From ""Dil Hai Ke Manta Nahin""), Tumhein Apna Banane Ki Kasam Khai Hai (From ""Sadak""), Kasam Se Kasam Se (From ""Hum Aapke Dil Mein Rahte Hain""), Main Duniya Bhula Doonga (From ""Aashiqui""), Dil Se Dilbar (From ""Aan - Men At Work""), Dil Diwana (From ""Daag The Fire""), Mohabbat Ki Hai Tumhare Liye (From ""Sadak""), Sachi Sachi Baat Bata (From ""Aap Ki Yaaden""), Dil Diwane Ka Dola Dildar Ke Liye (From ""Tahalka""), Tu Meri Zindagi Hai (From ""Aashiqui""), Jaan - E - Jigar Jaaneman (From ""Aashiqui""), Tere Hum Ae Sanam (From ""Jeena Teri Gali Mein""), Adayein Bhi Hain Mohabbat Bhi Hai (From ""Dil Hai Ke Manta Nahin""), Nazar Ke Samne (From ""Aashiqui""), Tere Chehre Pe Marta Hoon (From ""Kaun Hai Jo Sapno Mein Aaya""), Tu Pyar Hai Kisi Aur Ka (From ""Dil Hai Ke Manta Nahin""), Jo Hum Na Milenge To Gul Na Khilenge (From ""Jaan Ki Kasam""), Koi Mere Dil Mein Hai (From ""Koi Mere Dil Mein Hai"")",50,Ultimate Romantic Duet - Kumar Sanu & Anuradha Paudwal,compilation,285280
"Tu Pyar Hai Kisi Aur Ka (From ""Dil Hai Ke Manta Nahin"")",Anuradha Paudwal,2017-02-13,"bhajan, classic bollywood, filmi, ghazal, hare krishna","Dheere Dheere Se Meri Zindagi Mein Aana (From ""Aashiqui""), Hum Aapke Dil Mein Rehte Hain (From ""Hum Aapke Dil Mein Rahte Hain""), Dil Hai Ki Manta Nahin (From ""Dil Hai Ke Manta Nahin""), Tumhein Apna Banane Ki Kasam Khai Hai (From ""Sadak""), Kasam Se Kasam Se (From ""Hum Aapke Dil Mein Rahte Hain""), Main Duniya Bhula Doonga (From ""Aashiqui""), Dil Se Dilbar (From ""Aan - Men At Work""), Dil Diwana (From ""Daag The Fire""), Mohabbat Ki Hai Tumhare Liye (From ""Sadak""), Sachi Sachi Baat Bata (From ""Aap Ki Yaaden""), Dil Diwane Ka Dola Dildar Ke Liye (From ""Tahalka""), Tu Meri Zindagi Hai (From ""Aashiqui""), Jaan - E - Jigar Jaaneman (From ""Aashiqui""), Tere Hum Ae Sanam (From ""Jeena Teri Gali Mein""), Adayein Bhi Hain Mohabbat Bhi Hai (From ""Dil Hai Ke Manta Nahin""), Nazar Ke Samne (From ""Aashiqui""), Tere Chehre Pe Marta Hoon (From ""Kaun Hai Jo Sapno Mein Aaya""), Tu Pyar Hai Kisi Aur Ka (From ""Dil Hai Ke Manta Nahin""), Jo Hum Na Milenge To Gul Na Khilenge (From ""Jaan Ki Kasam""), Koi Mere Dil Mein Hai (From ""Koi Mere Dil Mein Hai"")",48,Ultimate Romantic Duet - Kumar Sanu & Anuradha Paudwal,compilation,412493
